X (mm),Y (mm),Z (mm),EM0_Mag,EM0_Az,EM1_Mag,EM1_Az,EM2_Mag,EM2_Az,EM3_Mag,EM3_Az,EM4_Mag,EM4_Az,EM5_Mag,EM5_Az,EM6_Mag,EM6_Az,EM7_Mag,EM7_Az,EM8_Mag,EM8_Az,EM9_Mag,EM9_Az,EM10_Mag,EM10_Az,EM11_Mag,EM11_Az
85.71,64.29,40.00,0.031221,59.08,0.024567,337.68,0.026177,31.61,0.003819,343.78,0.002058,240.28,0.002091,169.46,0.001581,222.36,0.002778,113.28,0.001516,285.15,0.001168,78.08,0.001247,23.34,0.000792,228.15
107.14,64.29,40.00,0.020692,41.00,0.014049,326.76,0.014761,23.96,0.005029,341.57,0.002761,236.98,0.002814,168.11,0.001564,236.08,0.002527,121.70,0.001405,290.56,0.001272,84.81,0.001459,29.35,0.000901,231.63
128.57,64.29,40.00,0.013825,31.33,0.008575,318.51,0.008909,19.18,0.006813,338.66,0.003840,232.92,0.003932,166.37,0.001522,248.07,0.002248,129.68,0.001279,295.60,0.001370,92.57,0.001700,35.84,0.001020,235.49
150.00,64.29,40.00,0.009535,25.37,0.005584,312.12,0.005753,15.95,0.009535,334.63,0.005584,227.88,0.005753,164.05,0.001456,258.46,0.001967,137.18,0.001148,300.26,0.001456,101.54,0.001967,42.82,0.001148,239.74
171.43,64.29,40.00,0.006813,21.34,0.003840,307.08,0.003932,13.63,0.013825,328.67,0.008575,221.48,0.008909,160.82,0.001370,267.43,0.001700,144.16,0.001020,304.51,0.001522,111.93,0.002248,50.32,0.001279,244.40
192.86,64.29,40.00,0.005029,18.43,0.002761,303.02,0.002814,11.89,0.020692,319.00,0.014049,213.24,0.014761,156.04,0.001272,275.19,0.001459,150.65,0.000901,308.37,0.001564,123.92,0.002527,58.30,0.001405,249.44
214.29,64.29,40.00,0.003819,16.22,0.002058,299.72,0.002091,10.54,0.031221,300.92,0.024567,202.32,0.026177,148.39,0.001168,281.92,0.001247,156.66,0.000792,311.86,0.001581,137.64,0.002778,66.72,0.001516,254.85
235.71,64.29,40.00,0.002972,14.49,0.001580,296.98,0.001601,9.46,0.043918,263.14,0.043918,186.86,0.047510,135.00,0.001064,287.78,0.001064,162.22,0.000695,315.00,0.001580,153.02,0.002972,75.51,0.001601,260.54
257.14,64.29,40.00,0.002362,13.10,0.001243,294.68,0.001257,8.58,0.049918,208.41,0.068477,156.11,0.074916,110.56,0.000964,292.92,0.000909,167.36,0.000610,317.83,0.001574,169.68,0.003084,84.53,0.001649,266.42
278.57,64.29,40.00,0.001912,11.95,0.000998,292.73,0.001007,7.85,0.049868,161.46,0.071871,37.54,0.078722,75.96,0.000871,297.44,0.000778,172.11,0.000536,320.39,0.001574,186.89,0.003094,93.65,0.001653,272.39
300.00,64.29,40.00,0.001571,10.99,0.000815,291.05,0.000822,7.24,0.046021,107.54,0.048913,357.24,0.053061,48.81,0.000785,301.44,0.000669,176.52,0.000472,322.70,0.001579,203.73,0.003002,102.70,0.001614,278.30
0.00,85.71,40.00,0.025105,239.92,0.033647,143.52,0.028101,118.30,0.001509,342.26,0.000817,236.54,0.000796,168.34,0.002057,153.84,0.003866,75.77,0.002111,260.75,0.000882,53.55,0.000708,357.48,0.000519,214.32
21.43,85.71,40.00,0.025751,197.45,0.043236,107.53,0.035647,98.75,0.001823,340.73,0.001000,234.00,0.000970,167.37,0.002049,172.38,0.004012,85.91,0.002176,267.34,0.000991,57.36,0.000832,1.89,0.000596,216.55
42.86,85.71,40.00,0.025806,153.83,0.041955,64.19,0.034643,77.01,0.002233,338.92,0.001245,231.06,0.001201,166.22,0.002050,191.41,0.003996,96.13,0.002168,273.99,0.001113,61.70,0.000983,6.69,0.000686,219.05
64.29,85.71,40.00,0.024567,112.32,0.031221,30.92,0.026177,58.39,0.002778,336.72,0.001581,227.64,0.001516,164.85,0.002058,209.72,0.003819,106.22,0.002091,280.54,0.001247,66.66,0.001168,11.92,0.000792,221.86
85.71,85.71,40.00,0.020174,80.83,0.020174,9.17,0.017313,45.00,0.003516,334.02,0.002055,223.62,0.001956,163.18,0.002055,226.38,0.003516,115.98,0.001956,286.82,0.001391,72.38,0.001391,17.62,0.000916,225.00
107.14,85.71,40.00,0.015110,60.83,0.012645,354.05,0.011125,35.84,0.004538,330.62,0.002745,218.84,0.002588,161.11,0.002018,240.98,0.003137,125.24,0.001783,292.71,0.001541,79.01,0.001658,23.85,0.001059,228.53
128.57,85.71,40.00,0.011000,48.20,0.008118,342.77,0.007306,29.48,0.005978,326.19,0.003788,213.07,0.003528,158.50,0.001941,253.51,0.002730,133.91,0.001592,298.14,0.001691,86.75,0.001973,30.64,0.001222,232.50
150.00,85.71,40.00,0.008041,39.77,0.005430,333.98,0.004980,24.90,0.008041,320.23,0.005430,206.02,0.004980,155.10,0.001828,264.18,0.002334,141.95,0.001402,303.07,0.001828,95.82,0.002334,38.05,0.001402,236.93
171.43,85.71,40.00,0.005978,33.81,0.003788,326.93,0.003528,21.50,0.011000,311.80,0.008118,197.23,0.007306,150.52,0.001691,273.25,0.001973,149.36,0.001222,307.50,0.001941,106.49,0.002730,46.09,0.001592,241.86
192.86,85.71,40.00,0.004538,29.38,0.002745,321.16,0.002588,18.89,0.015110,299.17,0.012645,185.95,0.011125,144.16,0.001541,280.99,0.001658,156.15,0.001059,311.47,0.002018,119.02,0.003137,54.76,0.001783,247.29
214.29,85.71,40.00,0.003516,25.98,0.002054,316.38,0.001956,16.82,0.020174,279.17,0.020174,170.82,0.017313,135.00,0.001391,287.62,0.001391,162.38,0.000916,315.00,0.002055,133.62,0.003516,64.02,0.001956,253.18
235.71,85.71,40.00,0.002778,23.28,0.001581,312.36,0.001516,15.15,0.024567,247.68,0.031221,149.08,0.026177,121.61,0.001247,293.34,0.001168,168.08,0.000792,318.15,0.002058,150.28,0.003819,73.78,0.002091,259.46
257.14,85.71,40.00,0.002233,21.08,0.001245,308.94,0.001201,13.78,0.025806,206.17,0.041955,115.81,0.034643,102.99,0.001113,298.30,0.000983,173.31,0.000686,320.95,0.002050,168.59,0.003996,83.87,0.002168,266.01
278.57,85.71,40.00,0.001823,19.27,0.001000,306.00,0.000970,12.63,0.025751,162.55,0.043236,72.47,0.035647,81.25,0.000991,302.64,0.000832,178.11,0.000596,323.45,0.002049,187.62,0.004012,94.09,0.002176,272.66
300.00,85.71,40.00,0.001509,17.74,0.000817,303.46,0.000796,11.66,0.025105,120.08,0.033647,36.48,0.028101,61.70,0.000882,306.45,0.000708,182.52,0.000519,325.69,0.002057,206.16,0.003866,104.23,0.002111,279.25
0.00,107.14,40.00,0.014176,230.36,0.021773,126.44,0.015454,111.25,0.001423,335.68,0.000816,225.05,0.000760,164.05,0.002760,150.89,0.005106,73.83,0.002850,259.56,0.000988,48.26,0.000742,350.76,0.000568,211.10
21.43,107.14,40.00,0.014237,195.00,0.025657,100.98,0.017917,96.34,0.001703,333.63,0.000997,221.83,0.000919,162.76,0.002748,171.49,0.005351,85.34,0.002961,266.99,0.001124,51.83,0.000882,355.13,0.000659,213.23
42.86,107.14,40.00,0.014265,157.60,0.025170,73.64,0.017610,80.54,0.002062,331.20,0.001237,218.15,0.001127,161.24,0.002750,192.74,0.005323,96.98,0.002948,274.51,0.001280,55.93,0.001055,359.92,0.000769,215.64
64.29,107.14,40.00,0.014049,123.24,0.020692,49.00,0.014761,66.04,0.002527,328.30,0.001564,213.92,0.001405,159.44,0.002761,213.02,0.005029,108.43,0.002814,281.89,0.001459,60.65,0.001272,5.19,0.000901,218.37
85.71,107.14,40.00,0.012645,95.95,0.015110,29.17,0.011125,54.16,0.003137,324.76,0.002018,209.02,0.001783,157.29,0.002745,231.16,0.004538,119.38,0.002588,288.89,0.001658,66.15,0.001541,10.99,0.001059,221.47
107.14,107.14,40.00,0.010470,76.30,0.010470,13.70,0.007999,45.00,0.003945,320.36,0.002667,203.29,0.002307,154.65,0.002667,246.71,0.003945,129.64,0.002307,295.35,0.001876,72.61,0.001876,17.39,0.001248,225.00
128.57,107.14,40.00,0.008283,62.49,0.007205,1.47,0.005711,38.05,0.005022,314.76,0.003616,196.51,0.003053,151.39,0.002521,259.77,0.003338,139.09,0.002011,301.19,0.002103,80.24,0.002285,24.47,0.001471,229.03
150.00,107.14,40.00,0.006448,52.58,0.005040,351.61,0.004132,32.74,0.006448,307.42,0.005040,188.39,0.004132,147.26,0.002325,270.66,0.002775,147.71,0.001728,306.38,0.002325,89.34,0.002775,32.29,0.001728,233.62
171.43,107.14,40.00,0.005022,45.24,0.003616,343.49,0.003053,28.61,0.008283,297.51,0.007205,178.53,0.005711,141.95,0.002103,279.76,0.002285,155.53,0.001471,310.97,0.002521,100.23,0.003338,40.91,0.002011,238.82
192.86,107.14,40.00,0.003945,39.64,0.002667,336.71,0.002307,25.35,0.010470,283.70,0.010470,166.30,0.007999,135.00,0.001876,287.39,0.001876,162.61,0.001248,315.00,0.002667,113.29,0.003945,50.36,0.002307,244.65
